study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	sd	se	min	max	cv	unit	comments
Li2020	NA	fasting	24.0	ref	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_ref_fasting	2.5	hr	181.1	NA	78.6	16.0441578152298	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	ref	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_ref_fasting	3.0	hr	222.9	NA	100.3	20.4736517667627	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	ref	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_ref_fasting	3.5	hr	264.7	NA	115.2	23.5151015307185	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	ref	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_ref_fasting	4.0	hr	283.6	NA	85.4	17.432202002807	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	ref	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_ref_fasting	6.0	hr	227.9	NA	48.2	9.8387838001791	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	ref	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_ref_fasting	8.0	hr	159.2	NA	28.3	5.77671331006366	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	ref	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_ref_fasting	12.0	hr	90.5	NA	15.1	3.08227459300217	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	ref	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_ref_fasting	24.0	hr	24.9	NA	5.1	1.04103314068285	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	ref	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_ref_fasting	36.0	hr	9.0	NA	NA	NA	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	ref	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_ref_fasting	48.0	hr	6.0	NA	NA	NA	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	ref	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_ref_fasting	72.0	hr	2.0	NA	NA	NA	NA	NA	NA	ng/ml	NA
